category,product,vial,client_rate,mrp,reporting_time,page
CYTOLOGY,"FLUID ANALYSIS PANEL (with LDH, AFB, GRAM, ADA, ROUTINE AND CYTO)",CONTAINER,1500.0,2800.0,48 Hrs,3
CYTOLOGY,BONE MARROW EXAMINATION,In Lab only,1000.0,1500.0,48 Hrs,3
CYTOLOGY,"FNAC - FINE NEEDLE ASPIRATION CYTOLOGY, Non-Gynaec Cytology",In Lab only,900.0,1200.0,48 Hrs,3
CYTOLOGY,CYTOLOGY SECOND OPINION,,500.0,500.0,,3
BACTERIOLOGY,CULTURE AEROBIC & SUSCEPTIBILITY - PUS CULTURE,CONTAINER,300.0,600.0,48 Hrs,3
BACTERIOLOGY,STOOL CULTURE,CONTAINER,300.0,600.0,48 Hrs,3
BACTERIOLOGY,PUS SWAB CULTURE,PUS,300.0,600.0,48 Hrs,3
BACTERIOLOGY,THROAT SWAB CULTURE,SWAB,300.0,600.0,48 Hrs,3
BACTERIOLOGY,CONJUNCTIVAL SWAB CULTURE,SWAB,300.0,600.0,48 Hrs,3
BACTERIOLOGY,SKIN SLIT SMEAR - LEPRA SMEAR,In Lab only,300.0,600.0,48 Hrs,3
BACTERIOLOGY,VAGINAL SWAB CULSTURE,SWAB,300.0,600.0,48 Hrs,3
BACTERIOLOGY,AFB STAIN - SPUTUM FOR AFB,SPUTUM,100.0,200.0,Same day ( 6pm to 7pm),3
BACTERIOLOGY,AFB STAIN - SPUTUM FOR AFB - 3 SAMPLE,SPUTUM,300.0,600.0,3 days,3
BACTERIOLOGY,GRAMS STAIN,,100.0,200.0,Same day ( 6pm to 7pm),3
BACTERIOLOGY,BLOOD CULTURE,Sodium Heparin,800.0,1200.0,3 Days or 7 to 8 days,3
CYTOCARE PROFILES & PANELS,"CARE PLUS - Advance Health Checkup (CBC, LFT, LIPID PROFILE, KFT, SUGAR F/R, HBA1C, T3 T4 TSH)",RED PURPLE GREY,900.0,1500.0,Same day ( 6pm to 7.30pm),3
CYTOCARE PROFILES & PANELS,"Fitness Plus - Whole Body Checkup = (CBC, ESR, GLUCOSE F/R, HBA1C, KFT (CREATININE, UREA, ELECTROLYTE, CALCIUM, URIC ACID), LFT, LIPID PROFILE, THYROID PROFILE, VIT D, VIT B12, TOTAL PROTEIN, ALBUMIN, HBSAG, RA, CRP, URINE R/E)","RED BLACK PURPLE GREY, URINE",1800.0,3000.0,Same day ( 6pm to 7.30pm),3
CYTOCARE PROFILES & PANELS,"DIABETICS MONITOR = (FASTING, PP, HBA1C, URINE R/E, URINE MICROALBUMIN & ALBUMIN CREATININE RATIO, eGFR, LIPID PROFILE, CREATININE, BUN, URIC ACID, TSH)","PURPLE GREY RED, URINE",900.0,1500.0,Same day ( 6pm to 7.30pm),3
CYTOCARE PROFILES & PANELS,"DIABETICS MONITOR PLUS = (FASTING, PP, HBA1C, URINE R/E, URINE MICROALBUMIN & ALBUMIN CREATININE RATIO, eGFR, LIPID PROFILE, CREATININE, BUN, URIC ACID, TSH, HOMA IR : INSULIN RESISTANCE INDEX)","PURPLE GREY RED, URINE",2200.0,3700.0,Same day ( 6pm to 7.30pm),3
CYTOCARE PROFILES & PANELS,"IRON Profile = ( IRON, FERRITIN, Total Iron Binding Capacity (TIBC), Transferrin Saturation, Hemoglobin-HB )","RED , PURPLE",1000.0,1600.0,Same day ( 6pm to 7.30pm),3
CYTOCARE PROFILES & PANELS,"FEVER PANEL = (CBC, ESR, MP, WIDAL, BILIRUBIN, URINE R/E)","RED BLACK PURPLE, URINE",500.0,900.0,Same day ( 6pm to 7pm),3
CYTOCARE PROFILES & PANELS,"Anaemia Profile - 1 = ( CBC, Peripheral Blood Smear-PBS, Retic Count, hsCRP, IRON Profile )","RED , PURPLE",1000.0,1600.0,Same day ( 6pm to 7.30pm),4
CYTOCARE PROFILES & PANELS,"Anaemia Profile - 2 = (CBC, Peripheral Blood Smear-PBS, Retic Count, hsCRP, IRON Profile, HB Electrophoresis / Variant) = (Patient Blood Transfusion History and Prescription Xerox required)","RED, PURPLE",2200.0,4000.0,Next day ( 6pm to 7.30pm),4
CYTOCARE PROFILES & PANELS,"ARTHRITIES PANEL - 1 (CBC, ESR, CRP, URIC ACID, ASO, RF, CALCIUM)",RED BLACK PURPLE,800.0,1500.0,Same day ( 6pm to 7pm),4
CYTOCARE PROFILES & PANELS,"ARTHRITIES PANEL - 2 (CBC, ESR, CRP, URIC ACID, ASO, RF, CALCIUM, ANA, ANTI CCP)",RED BLACK PURPLE,1500.0,2500.0,Same day ( 6pm to 7.30pm),4
CYTOCARE PROFILES & PANELS,"ANC PROFILE - ANTENATAL PROFILE = (CBC, ABO, SUGAR, VDRL, HIV, HBSAG, HCV, TSH, URINE R/E)","PURPLE GREY RED, URINE",600.0,1300.0,Same day,4
SPECIALISED TEST MENU,TB GOLD / FERRON,GREEN - Lithium Heparin,1300.0,2500.0,Next Day Even.,4
SPECIALISED TEST MENU,INSULIN - FASTING,RED - PLAIN,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,ANTI CCP,RED - PLAIN,450.0,1200.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,ANA (ANTI NUCLEAR ANTIBODY),RED - PLAIN,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,PROCALCITONIN,RED - PLAIN,900.0,1900.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,TTG - Tissue Transgultaminase Antibody-IGA,RED - PLAIN,800.0,1500.0,72 Hrs ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"FOLIC ACID, SERUM / FOLATE",PURPLE - EDTA,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"TESTOSTERONE TOTAL, SERUM",RED - PLAIN,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"TESTOSTERONE FREE, SERUM",RED - PLAIN,600.0,1000.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"CORTISOL, SERUM - AM",RED - PLAIN,400.0,800.0,Same day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"CORTISOL, SERUM - PM",RED - PLAIN,400.0,800.0,Next day ( 6pm to 7.30pm),4
SPECIALISED TEST MENU,"CA 125, CANCER MARKER, SERUM",RED - PLAIN,400.0,1000.0,Same day ( 6pm to 7.30pm),5
